id,name,type,dTime,energy_power
2001,Intelligent Storage System,storage,20210515-00:00,1.6807764483355314
2002,Clean Fuel Home,fossil_fuel,20210515-00:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-01:00,2.5980953318379787
2002,Clean Fuel Home,fossil_fuel,20210515-01:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-02:00,2.5388116386584394
2002,Clean Fuel Home,fossil_fuel,20210515-02:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-03:00,2.495111446052298
2002,Clean Fuel Home,fossil_fuel,20210515-03:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-04:00,1.6612018174013832
2002,Clean Fuel Home,fossil_fuel,20210515-04:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-05:00,0.7088408423531731
2002,Clean Fuel Home,fossil_fuel,20210515-05:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-06:00,2.1207996346037605
2002,Clean Fuel Home,fossil_fuel,20210515-06:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-07:00,3.150781679628617
2002,Clean Fuel Home,fossil_fuel,20210515-07:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-08:00,3.3855297200984453
2002,Clean Fuel Home,fossil_fuel,20210515-08:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-09:00,0.6333510356212316
2002,Clean Fuel Home,fossil_fuel,20210515-09:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-10:00,3.0751858749016265
2002,Clean Fuel Home,fossil_fuel,20210515-10:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-11:00,3.2417489216994895
2002,Clean Fuel Home,fossil_fuel,20210515-11:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-12:00,3.6990613045431395
2002,Clean Fuel Home,fossil_fuel,20210515-12:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-13:00,4.39342890799308
2002,Clean Fuel Home,fossil_fuel,20210515-13:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-14:00,5.8071992754968935
2002,Clean Fuel Home,fossil_fuel,20210515-14:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-15:00,6.270747216843639
2002,Clean Fuel Home,fossil_fuel,20210515-15:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-16:00,2.5393289039312776
2002,Clean Fuel Home,fossil_fuel,20210515-16:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-17:00,0.0
2002,Clean Fuel Home,fossil_fuel,20210515-17:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-18:00,0.0
2002,Clean Fuel Home,fossil_fuel,20210515-18:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-19:00,0.0
2002,Clean Fuel Home,fossil_fuel,20210515-19:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-20:00,0.0
2002,Clean Fuel Home,fossil_fuel,20210515-20:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-21:00,0.0
2002,Clean Fuel Home,fossil_fuel,20210515-21:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-22:00,0.0
2002,Clean Fuel Home,fossil_fuel,20210515-22:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210515-23:00,0.0
2002,Clean Fuel Home,fossil_fuel,20210515-23:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210516-00:00,0.0
2002,Clean Fuel Home,fossil_fuel,20210516-00:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210516-01:00,0.0
2002,Clean Fuel Home,fossil_fuel,20210516-01:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210516-02:00,0.0
2002,Clean Fuel Home,fossil_fuel,20210516-02:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210516-03:00,0.0
2002,Clean Fuel Home,fossil_fuel,20210516-03:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210516-04:00,0.0
2002,Clean Fuel Home,fossil_fuel,20210516-04:00,0.6423728412902066
2001,Intelligent Storage System,storage,20210516-05:00,0.0
