id,name,type,dTime,energy_power
1001,Photovoltaics Tech,photovoltaics,20210515-00:00,8.837693423560175
1002,Giant Wind Power,wind_power,20210515-00:00,12.316495722415588
1003,City consumption,consumption,20210515-00:00,-19.473409678988304
1001,Photovoltaics Tech,photovoltaics,20210515-01:00,8.476749893194699
1002,Giant Wind Power,wind_power,20210515-01:00,12.638067263922082
1003,City consumption,consumption,20210515-01:00,-18.516718885516184
1001,Photovoltaics Tech,photovoltaics,20210515-02:00,8.523475894307863
1002,Giant Wind Power,wind_power,20210515-02:00,12.430750007662342
1003,City consumption,consumption,20210515-02:00,-18.415412554040067
1001,Photovoltaics Tech,photovoltaics,20210515-03:00,8.807892824731251
1002,Giant Wind Power,wind_power,20210515-03:00,12.504850819974031
1003,City consumption,consumption,20210515-03:00,-18.817631269819394
1001,Photovoltaics Tech,photovoltaics,20210515-04:00,9.181634159646503
1002,Giant Wind Power,wind_power,20210515-04:00,12.282297057818187
1003,City consumption,consumption,20210515-04:00,-19.802729089910667
1001,Photovoltaics Tech,photovoltaics,20210515-05:00,9.662544833814113
1002,Giant Wind Power,wind_power,20210515-05:00,11.891881354597405
1003,City consumption,consumption,20210515-05:00,-20.845585288129485
1001,Photovoltaics Tech,photovoltaics,20210515-06:00,9.160336255842235
1002,Giant Wind Power,wind_power,20210515-06:00,12.308126387740264
1003,City consumption,consumption,20210515-06:00,-19.347662947072635
1001,Photovoltaics Tech,photovoltaics,20210515-07:00,8.409829021018702
1002,Giant Wind Power,wind_power,20210515-07:00,12.643741701246757
1003,City consumption,consumption,20210515-07:00,-17.902789019190788
1001,Photovoltaics Tech,photovoltaics,20210515-08:00,7.663347892870975
1002,Giant Wind Power,wind_power,20210515-08:00,12.694467940883122
1003,City consumption,consumption,20210515-08:00,-16.97228611037701
1001,Photovoltaics Tech,photovoltaics,20210515-09:00,9.056378357132637
1002,Giant Wind Power,wind_power,20210515-09:00,11.764244024545457
1003,City consumption,consumption,20210515-09:00,-20.18727134604689
1001,Photovoltaics Tech,photovoltaics,20210515-10:00,9.047619940679882
1002,Giant Wind Power,wind_power,20210515-10:00,12.623463006831173
1003,City consumption,consumption,20210515-10:00,-18.595897072598532
1001,Photovoltaics Tech,photovoltaics,20210515-11:00,8.92893438988385
1002,Giant Wind Power,wind_power,20210515-11:00,12.625453961662341
1003,City consumption,consumption,20210515-11:00,-18.312639427631954
1001,Photovoltaics Tech,photovoltaics,20210515-12:00,8.541844627957284
1002,Giant Wind Power,wind_power,20210515-12:00,12.80791012849351
1003,City consumption,consumption,20210515-12:00,-17.650693427597684
1001,Photovoltaics Tech,photovoltaics,20210515-13:00,8.055510076242998
1002,Giant Wind Power,wind_power,20210515-13:00,13.020911940701303
1003,City consumption,consumption,20210515-13:00,-16.68299298426435
1001,Photovoltaics Tech,photovoltaics,20210515-14:00,7.534300082842997
1002,Giant Wind Power,wind_power,20210515-14:00,13.308637912727278
1003,City consumption,consumption,20210515-14:00,-15.035738233359588
1001,Photovoltaics Tech,photovoltaics,20210515-15:00,7.349743573687154
1002,Giant Wind Power,wind_power,20210515-15:00,13.356291793896109
1003,City consumption,consumption,20210515-15:00,-14.435286908576037
1001,Photovoltaics Tech,photovoltaics,20210515-16:00,6.788586717172868
1002,Giant Wind Power,wind_power,20210515-16:00,13.51317915301299
1003,City consumption,consumption,20210515-16:00,-13.442882623909371
1001,Photovoltaics Tech,photovoltaics,20210515-17:00,5.954183549024816
1002,Giant Wind Power,wind_power,20210515-17:00,14.08292745662338
1003,City consumption,consumption,20210515-17:00,-11.266496391281665
1001,Photovoltaics Tech,photovoltaics,20210515-18:00,5.953175011263777
1002,Giant Wind Power,wind_power,20210515-18:00,14.04536609262338
1003,City consumption,consumption,20210515-18:00,-11.429101209298985
1001,Photovoltaics Tech,photovoltaics,20210515-19:00,6.321060420276765
1002,Giant Wind Power,wind_power,20210515-19:00,14.003976181194808
1003,City consumption,consumption,20210515-19:00,-12.035100700511103
1001,Photovoltaics Tech,photovoltaics,20210515-20:00,6.01658672093131
1002,Giant Wind Power,wind_power,20210515-20:00,14.365253138493511
1003,City consumption,consumption,20210515-20:00,-10.39907310636392
1001,Photovoltaics Tech,photovoltaics,20210515-21:00,5.490454734739103
1002,Giant Wind Power,wind_power,20210515-21:00,14.633321469610392
1003,City consumption,consumption,20210515-21:00,-9.336472176995953
1001,Photovoltaics Tech,photovoltaics,20210515-22:00,5.186048178020187
1002,Giant Wind Power,wind_power,20210515-22:00,14.874608563766238
1003,City consumption,consumption,20210515-22:00,-8.027935603098948
1001,Photovoltaics Tech,photovoltaics,20210515-23:00,4.952770051156822
1002,Giant Wind Power,wind_power,20210515-23:00,14.906056177272731
1003,City consumption,consumption,20210515-23:00,-7.597979774197194
1001,Photovoltaics Tech,photovoltaics,20210516-00:00,5.093907280196963
1002,Giant Wind Power,wind_power,20210516-00:00,14.785384590701302
1003,City consumption,consumption,20210516-00:00,-8.02256627655925
1001,Photovoltaics Tech,photovoltaics,20210516-01:00,5.0131262455234245
1002,Giant Wind Power,wind_power,20210516-01:00,14.874608054649354
1003,City consumption,consumption,20210516-01:00,-7.922581660039933
1001,Photovoltaics Tech,photovoltaics,20210516-02:00,5.170574652691839
1002,Giant Wind Power,wind_power,20210516-02:00,14.616788656675327
1003,City consumption,consumption,20210516-02:00,-8.008856419602363
1001,Photovoltaics Tech,photovoltaics,20210516-03:00,4.817109999871828
1002,Giant Wind Power,wind_power,20210516-03:00,15.140398493506495
1003,City consumption,consumption,20210516-03:00,-6.8645457522038065
1001,Photovoltaics Tech,photovoltaics,20210516-04:00,5.089741999093941
1002,Giant Wind Power,wind_power,20210516-04:00,15.066227536285716
1003,City consumption,consumption,20210516-04:00,-7.119505452488398
1001,Photovoltaics Tech,photovoltaics,20210516-05:00,5.7637018265462165
1002,Giant Wind Power,wind_power,20210516-05:00,14.413100221636364
1003,City consumption,consumption,20210516-05:00,-8.190501728396784
1001,Photovoltaics Tech,photovoltaics,20210516-06:00,6.165578137513594
1002,Giant Wind Power,wind_power,20210516-06:00,14.083092147896103
1003,City consumption,consumption,20210516-06:00,-8.80896415460806
1001,Photovoltaics Tech,photovoltaics,20210516-07:00,6.73282593020167
1002,Giant Wind Power,wind_power,20210516-07:00,13.430070318389609
1003,City consumption,consumption,20210516-07:00,-10.063352536073143
1001,Photovoltaics Tech,photovoltaics,20210516-08:00,6.75766307933459
1002,Giant Wind Power,wind_power,20210516-08:00,12.87107373563636
1003,City consumption,consumption,20210516-08:00,-10.45601566559126
1001,Photovoltaics Tech,photovoltaics,20210516-09:00,6.886285674585895
1002,Giant Wind Power,wind_power,20210516-09:00,12.879031001220776
1003,City consumption,consumption,20210516-09:00,-10.63743471799452
1001,Photovoltaics Tech,photovoltaics,20210516-10:00,6.97700279830515
1002,Giant Wind Power,wind_power,20210516-10:00,13.273531230389608
1003,City consumption,consumption,20210516-10:00,-10.198901248005926
1001,Photovoltaics Tech,photovoltaics,20210516-11:00,6.7850067754465115
1002,Giant Wind Power,wind_power,20210516-11:00,13.366063938311687
1003,City consumption,consumption,20210516-11:00,-9.794434855949389
1001,Photovoltaics Tech,photovoltaics,20210516-12:00,6.635052383507934
1002,Giant Wind Power,wind_power,20210516-12:00,13.429425291116882
1003,City consumption,consumption,20210516-12:00,-9.615563496372575
1001,Photovoltaics Tech,photovoltaics,20210516-13:00,6.84490392880144
1002,Giant Wind Power,wind_power,20210516-13:00,13.112390387584412
1003,City consumption,consumption,20210516-13:00,-10.165316071861755
1001,Photovoltaics Tech,photovoltaics,20210516-14:00,6.285243367853389
1002,Giant Wind Power,wind_power,20210516-14:00,13.80676214355844
1003,City consumption,consumption,20210516-14:00,-8.796834184567382
1001,Photovoltaics Tech,photovoltaics,20210516-15:00,5.6867767379417
1002,Giant Wind Power,wind_power,20210516-15:00,14.44473117348052
1003,City consumption,consumption,20210516-15:00,-7.420818372809807
1001,Photovoltaics Tech,photovoltaics,20210516-16:00,5.614765285474168
1002,Giant Wind Power,wind_power,20210516-16:00,14.786757469584417
1003,City consumption,consumption,20210516-16:00,-7.115084999649633
1001,Photovoltaics Tech,photovoltaics,20210516-17:00,5.860495937959882
1002,Giant Wind Power,wind_power,20210516-17:00,14.851860735064935
1003,City consumption,consumption,20210516-17:00,-7.467493229982966
1001,Photovoltaics Tech,photovoltaics,20210516-18:00,5.965341363017025
1002,Giant Wind Power,wind_power,20210516-18:00,14.905457359506496
1003,City consumption,consumption,20210516-18:00,-7.570807033649631
1001,Photovoltaics Tech,photovoltaics,20210516-19:00,5.750122802523519
1002,Giant Wind Power,wind_power,20210516-19:00,15.102993090155845
1003,City consumption,consumption,20210516-19:00,-7.133538004255695
1001,Photovoltaics Tech,photovoltaics,20210516-20:00,5.482094072468973
1002,Giant Wind Power,wind_power,20210516-20:00,15.488794791116884
1003,City consumption,consumption,20210516-20:00,-6.279680597021927
1001,Photovoltaics Tech,photovoltaics,20210516-21:00,5.687554592723519
1002,Giant Wind Power,wind_power,20210516-21:00,15.43710466888312
1003,City consumption,consumption,20210516-21:00,-6.629257654589027
1001,Photovoltaics Tech,photovoltaics,20210516-22:00,7.269503324383825
1002,Giant Wind Power,wind_power,20210516-22:00,13.300179403636363
1003,City consumption,consumption,20210516-22:00,-11.935900535921538
1001,Photovoltaics Tech,photovoltaics,20210516-23:00,8.793386566553481
1002,Giant Wind Power,wind_power,20210516-23:00,12.675844195402597
1003,City consumption,consumption,20210516-23:00,-15.074378336332156
1001,Photovoltaics Tech,photovoltaics,20210517-00:00,10.64688066813837
1002,Giant Wind Power,wind_power,20210517-00:00,11.923533459246752
1003,City consumption,consumption,20210517-00:00,-18.904612127819785
1001,Photovoltaics Tech,photovoltaics,20210517-01:00,13.055978693214822
1002,Giant Wind Power,wind_power,20210517-01:00,10.941625471662336
1003,City consumption,consumption,20210517-01:00,-23.785025844171734
1001,Photovoltaics Tech,photovoltaics,20210517-02:00,17.008009932680928
1002,Giant Wind Power,wind_power,20210517-02:00,7.4670623482337595
1003,City consumption,consumption,20210517-02:00,-34.014781709909045
1001,Photovoltaics Tech,photovoltaics,20210517-03:00,18.743913982391625
1002,Giant Wind Power,wind_power,20210517-03:00,6.633805893844149
1003,City consumption,consumption,20210517-03:00,-37.69546454987436
1001,Photovoltaics Tech,photovoltaics,20210517-04:00,19.865926967010758
1002,Giant Wind Power,wind_power,20210517-04:00,6.122710661610384
1003,City consumption,consumption,20210517-04:00,-39.83202355279515
1001,Photovoltaics Tech,photovoltaics,20210517-05:00,20.57072966023972
1002,Giant Wind Power,wind_power,20210517-05:00,5.2165472610909
1003,City consumption,consumption,20210517-05:00,-42.01608315262058
1001,Photovoltaics Tech,photovoltaics,20210517-06:00,19.979710621250025
1002,Giant Wind Power,wind_power,20210517-06:00,5.325924532727265
1003,City consumption,consumption,20210517-06:00,-40.90022835590757
1001,Photovoltaics Tech,photovoltaics,20210517-07:00,15.957089729660705
1002,Giant Wind Power,wind_power,20210517-07:00,6.5091582803636285
1003,City consumption,consumption,20210517-07:00,-32.72091934462594
1001,Photovoltaics Tech,photovoltaics,20210517-08:00,15.026032474078221
1002,Giant Wind Power,wind_power,20210517-08:00,7.1785645677662275
1003,City consumption,consumption,20210517-08:00,-30.395663290103368
1001,Photovoltaics Tech,photovoltaics,20210517-09:00,13.771472158131147
1002,Giant Wind Power,wind_power,20210517-09:00,7.481878067896096
1003,City consumption,consumption,20210517-09:00,-27.91460650958648
1001,Photovoltaics Tech,photovoltaics,20210517-10:00,10.549262516667945
1002,Giant Wind Power,wind_power,20210517-10:00,10.836166729870127
1003,City consumption,consumption,20210517-10:00,-19.826121442090137
1001,Photovoltaics Tech,photovoltaics,20210517-11:00,9.57943475290489
1002,Giant Wind Power,wind_power,20210517-11:00,10.858292337558437
1003,City consumption,consumption,20210517-11:00,-17.83587997552108
1001,Photovoltaics Tech,photovoltaics,20210517-12:00,8.777580018055986
1002,Giant Wind Power,wind_power,20210517-12:00,11.428730179506491
1003,City consumption,consumption,20210517-12:00,-16.222157173000284
1001,Photovoltaics Tech,photovoltaics,20210517-13:00,8.70958625415988
1002,Giant Wind Power,wind_power,20210517-13:00,11.45326193794805
1003,City consumption,consumption,20210517-13:00,-16.144548518887728
1001,Photovoltaics Tech,photovoltaics,20210517-14:00,8.029925783230011
1002,Giant Wind Power,wind_power,20210517-14:00,12.337795020441558
1003,City consumption,consumption,20210517-14:00,-14.204638210195084
1001,Photovoltaics Tech,photovoltaics,20210517-15:00,7.545147432196246
1002,Giant Wind Power,wind_power,20210517-15:00,13.12826307644156
1003,City consumption,consumption,20210517-15:00,-12.560960006091193
1001,Photovoltaics Tech,photovoltaics,20210517-16:00,7.349221202557284
1002,Giant Wind Power,wind_power,20210517-16:00,13.409311166493508
1003,City consumption,consumption,20210517-16:00,-12.062987718597684
1001,Photovoltaics Tech,photovoltaics,20210517-17:00,6.392593013687155
1002,Giant Wind Power,wind_power,20210517-17:00,14.503133954935066
1003,City consumption,consumption,20210517-17:00,-9.297178832385562
1001,Photovoltaics Tech,photovoltaics,20210517-18:00,6.261796994957285
1002,Giant Wind Power,wind_power,20210517-18:00,14.832253567064937
1003,City consumption,consumption,20210517-18:00,-8.572042610692925
1001,Photovoltaics Tech,photovoltaics,20210517-19:00,6.3043351390352065
1002,Giant Wind Power,wind_power,20210517-19:00,14.79618336992208
1003,City consumption,consumption,20210517-19:00,-8.678653803203744
1001,Photovoltaics Tech,photovoltaics,20210517-20:00,5.762043642063778
1002,Giant Wind Power,wind_power,20210517-20:00,15.443544429610391
1003,City consumption,consumption,20210517-20:00,-6.824834641584699
1001,Photovoltaics Tech,photovoltaics,20210517-21:00,5.6172822462897525
1002,Giant Wind Power,wind_power,20210517-21:00,15.444302507038962
1003,City consumption,consumption,20210517-21:00,-6.70499422005656
1001,Photovoltaics Tech,photovoltaics,20210517-22:00,8.297266817634803
1002,Giant Wind Power,wind_power,20210517-22:00,12.384992543636363
1003,City consumption,consumption,20210517-22:00,-14.965206727847631
1001,Photovoltaics Tech,photovoltaics,20210517-23:00,9.92665408713927
1002,Giant Wind Power,wind_power,20210517-23:00,11.746873881844154
1003,City consumption,consumption,20210517-23:00,-17.987504900804627
1001,Photovoltaics Tech,photovoltaics,20210518-00:00,12.324869404096429
1002,Giant Wind Power,wind_power,20210518-00:00,10.922504925402597
1003,City consumption,consumption,20210518-00:00,-22.766100808390004
1001,Photovoltaics Tech,photovoltaics,20210518-01:00,14.57538781249336
1002,Giant Wind Power,wind_power,20210518-01:00,9.917881253688309
1003,City consumption,consumption,20210518-01:00,-27.539494028687834
1001,Photovoltaics Tech,photovoltaics,20210518-02:00,17.606272329142502
1002,Giant Wind Power,wind_power,20210518-02:00,6.7009245191948
1003,City consumption,consumption,20210518-02:00,-35.80737581990307
1001,Photovoltaics Tech,photovoltaics,20210518-03:00,17.453833409682154
1002,Giant Wind Power,wind_power,20210518-03:00,6.887769210207787
1003,City consumption,consumption,20210518-03:00,-35.415189390637266
1001,Photovoltaics Tech,photovoltaics,20210518-04:00,17.34591824711723
1002,Giant Wind Power,wind_power,20210518-04:00,6.995016756181812
1003,City consumption,consumption,20210518-04:00,-35.370670143496696
1001,Photovoltaics Tech,photovoltaics,20210518-05:00,17.04402208195893
1002,Giant Wind Power,wind_power,20210518-05:00,6.827580951272721
1003,City consumption,consumption,20210518-05:00,-35.269266255547194
1001,Photovoltaics Tech,photovoltaics,20210518-06:00,16.663527921076604
1002,Giant Wind Power,wind_power,20210518-06:00,6.835987517402591
1003,City consumption,consumption,20210518-06:00,-34.67258034456415
1001,Photovoltaics Tech,photovoltaics,20210518-07:00,14.28469426543083
1002,Giant Wind Power,wind_power,20210518-07:00,7.602297332857137
1003,City consumption,consumption,20210518-07:00,-29.873932312189016
1001,Photovoltaics Tech,photovoltaics,20210518-08:00,12.489611336001703
1002,Giant Wind Power,wind_power,20210518-08:00,8.880250879376621
1003,City consumption,consumption,20210518-08:00,-25.89667747428395
1001,Photovoltaics Tech,photovoltaics,20210518-09:00,11.762340876269686
1002,Giant Wind Power,wind_power,20210518-09:00,8.978929656259737
1003,City consumption,consumption,20210518-09:00,-24.450556493806193
1001,Photovoltaics Tech,photovoltaics,20210518-10:00,10.188332748122006
1002,Giant Wind Power,wind_power,20210518-10:00,10.907201382103894
1003,City consumption,consumption,20210518-10:00,-19.68011856118987
1001,Photovoltaics Tech,photovoltaics,20210518-11:00,9.051639282855836
1002,Giant Wind Power,wind_power,20210518-11:00,11.562693076883116
1003,City consumption,consumption,20210518-11:00,-17.360323312740157
1001,Photovoltaics Tech,photovoltaics,20210518-12:00,8.898672732705336
1002,Giant Wind Power,wind_power,20210518-12:00,11.484959463142857
1003,City consumption,consumption,20210518-12:00,-17.295406935511103
1001,Photovoltaics Tech,photovoltaics,20210518-13:00,8.151662362040401
1002,Giant Wind Power,wind_power,20210518-13:00,12.176544660077923
1003,City consumption,consumption,20210518-13:00,-15.664675365355258
1001,Photovoltaics Tech,photovoltaics,20210518-14:00,7.3094777011598815
1002,Giant Wind Power,wind_power,20210518-14:00,13.188965828467534
1003,City consumption,consumption,20210518-14:00,-12.889605692459154
1001,Photovoltaics Tech,photovoltaics,20210518-15:00,8.113292398388452
1002,Giant Wind Power,wind_power,20210518-15:00,12.355861807662338
1003,City consumption,consumption,20210518-15:00,-15.222153997363916
1001,Photovoltaics Tech,photovoltaics,20210518-16:00,7.879091125718324
1002,Giant Wind Power,wind_power,20210518-16:00,13.00617860418182
1003,City consumption,consumption,20210518-16:00,-14.074675685770845
1001,Photovoltaics Tech,photovoltaics,20210518-17:00,7.5287721879391025
1002,Giant Wind Power,wind_power,20210518-17:00,13.747684146129872
1003,City consumption,consumption,20210518-17:00,-12.912239360900715
1001,Photovoltaics Tech,photovoltaics,20210518-18:00,7.70156893367157
1002,Giant Wind Power,wind_power,20210518-18:00,13.877257741480523
1003,City consumption,consumption,20210518-18:00,-13.093091079978635
1001,Photovoltaics Tech,photovoltaics,20210518-19:00,7.65435946250274
1002,Giant Wind Power,wind_power,20210518-19:00,14.018482177844158
1003,City consumption,consumption,20210518-19:00,-12.435837199459158
1001,Photovoltaics Tech,photovoltaics,20210518-20:00,6.7954159748352065
1002,Giant Wind Power,wind_power,20210518-20:00,14.60598571405195
