dTime,temperature,light_intensity,wind_speed,humidity
20210515-00:00,23.41,148814.29,2.634919354,97.66
20210515-01:00,22.79,227779.3,3.293584673,98.99
20210515-02:00,22.58,201514.6,3.200312485,95.44
20210515-03:00,22.36,278314.62,2.934552777,97.19
20210515-04:00,22.75,353576.37,2.947303853,96.7
20210515-05:00,23.15,313638.08,2.276071176,94.21
20210515-06:00,22.38,213820.84,2.082138324,95.9
20210515-07:00,22.08,232052.3,3.244009864,96.63
20210515-08:00,22.6,180035.66,4.516912662,95.55
20210515-09:00,23.76,238262.39,3.34378528,91.35
20210515-10:00,21.65,175591.74,1.576229679,97.96
20210515-11:00,21.76,27973.9,1.016710382,97.8
20210515-12:00,21.78,0.0,1.447791421,98.85
20210515-13:00,21.56,0.0,2.132158531,99.18
20210515-14:00,20.47,0.0,2.56750852,97.86
20210515-15:00,20.06,0.0,2.768176295,96.5
20210515-16:00,19.98,0.0,3.693913913,96.06
20210515-17:00,18.88,0.0,4.46467244,97.54
20210515-18:00,19.11,0.0,4.568084938,97.66
20210515-19:00,19.1,0.0,3.883297568,98.69
20210515-20:00,17.52,0.0,3.683177976,98.0
20210515-21:00,17.26,0.0,4.38041094,98.86
20210515-22:00,16.13,5355.49,4.45408801,97.71
20210515-23:00,16.02,39026.72,5.037955935,96.78
20210516-00:00,16.15,125877.3,5.399083256,95.98
20210516-01:00,16.2,124919.84,5.478831992,97.11
20210516-02:00,15.87,178537.37,5.628578861,92.93
20210516-03:00,15.09,180283.32,5.59946426,96.88
20210516-04:00,14.68,264370.48,5.489717661,95.76
20210516-05:00,14.52,320184.53,5.073066134,88.48
20210516-06:00,14.36,376843.39,4.878216887,84.84
20210516-07:00,14.81,365635.53,4.469239309,78.92
20210516-08:00,15.53,218919.48,4.354962686,72.77
20210516-09:00,15.49,214977.02,4.061329831,73.36
20210516-10:00,14.73,172792.64,3.04763843,77.46
20210516-11:00,14.81,45338.35,2.6469983,78.24
20210516-12:00,14.98,0.0,2.674696244,79.03
20210516-13:00,15.26,0.0,2.652432846,76.04
20210516-14:00,14.65,0.0,2.898620361,82.14
20210516-15:00,14.12,0.0,3.298878597,87.45
20210516-16:00,13.86,0.0,3.031451797,91.51
20210516-17:00,13.78,0.0,2.4623769,93.38
20210516-18:00,13.68,0.0,2.175729763,94.37
20210516-19:00,13.57,0.0,2.373604853,96.04
20210516-20:00,13.0,0.0,2.361228494,98.93
20210516-21:00,13.01,0.0,2.011218536,99.12
20210516-22:00,16.62,82341.21,2.473863375,84.91
20210516-23:00,16.81,499003.51,2.465948094,82.96
20210517-00:00,16.95,1075972.77,2.814427118,80.41
20210517-01:00,17.21,1687555.22,2.523350947,77.29
20210517-02:00,21.48,2221288.64,2.341644721,55.63
20210517-03:00,21.98,2608618.55,2.046191584,52.43
20210517-04:00,22.02,2822787.89,1.547384891,49.93
20210517-05:00,23.42,2831237.49,1.492816131,43.67
20210517-06:00,23.57,2617068.16,1.39645981,43.1
20210517-07:00,23.55,1302478.53,0.814002457,42.7
20210517-08:00,22.88,1037048.25,0.320156212,46.58
20210517-09:00,22.96,634509.05,0.268700577,45.72
20210517-10:00,19.61,341758.38,0.73430239,71.64
20210517-11:00,19.51,69568.42,1.074662738,67.27
20210517-12:00,19.23,0.0,1.623730273,71.39
20210517-13:00,19.28,0.0,1.747226373,71.6
20210517-14:00,18.15,0.0,1.896444041,78.46
20210517-15:00,16.98,0.0,1.744018349,84.67
20210517-16:00,16.74,0.0,1.78549713,87.3
20210517-17:00,15.1,0.0,2.130093895,94.52
20210517-18:00,14.39,0.0,1.864537476,96.76
20210517-19:00,14.44,0.0,1.830437106,96.56
20210517-20:00,13.11,0.0,1.88663722,99.86
20210517-21:00,13.28,0.0,2.217949503,99.72
20210517-22:00,18.46,84214.4,1.88063819,81.32
20210517-23:00,18.33,443773.28,1.271416533,78.69
20210518-00:00,18.55,1005758.05,0.559732079,77.79
20210518-01:00,19.01,1630320.05,0.730821456,74.2
20210518-02:00,22.98,1972944.03,0.957705592,51.34
20210518-03:00,22.65,2060777.48,1.469863939,52.46
20210518-04:00,22.66,2176154.33,2.221440974,53.6
20210518-05:00,23.49,2004163.65,2.254595307,52.21
20210518-06:00,23.78,1851459.0,2.22524156,51.49
20210518-07:00,23.67,1171640.54,2.330944015,51.95
20210518-08:00,22.97,734735.58,1.973854098,61.01
20210518-09:00,23.23,356989.53,1.276126953,60.01
20210518-10:00,20.45,211750.44,0.885663593,73.61
20210518-11:00,20.06,79689.2,1.63024538,77.16
20210518-12:00,20.45,0.0,1.672991333,76.47
20210518-13:00,19.91,0.0,2.309567059,81.88
20210518-14:00,17.99,0.0,2.430740628,87.55
20210518-15:00,19.38,0.0,2.060097085,82.82
20210518-16:00,18.32,0.0,1.583982323,88.39
20210518-17:00,17.51,0.0,1.316548518,95.56
20210518-18:00,17.36,0.0,0.807774721,97.86
20210518-19:00,16.55,0.0,0.534509121,97.34
20210518-20:00,15.78,0.0,1.428635713,99.97
20210518-21:00,15.54,0.0,0.99744674,99.01
20210518-22:00,19.2,62382.68,1.441804425,88.02
20210518-23:00,18.6,284935.56,1.281600562,91.25
20210519-00:00,18.54,571610.24,1.281405478,91.56
20210519-01:00,19.46,1078098.9,1.790027933,85.21
20210519-02:00,22.02,1407411.97,2.407072911,71.67
20210519-03:00,22.2,1528111.44,2.858828431,70.23
20210519-04:00,22.42,1373503.83,3.472074308,67.72
20210519-05:00,21.27,825752.8,2.611378946,73.88
20210519-06:00,21.67,1243148.41,3.007274514,71.95
20210519-07:00,21.45,694779.84,3.053145919,75.03
20210519-08:00,19.15,519176.14,2.976390431,89.99
20210519-09:00,19.02,355193.28,3.698783584,89.06
20210519-10:00,17.35,67254.87,3.618134879,89.66
20210519-11:00,17.13,17290.9,3.118493226,86.85
20210519-12:00,17.16,0.0,2.272641635,85.37
20210519-13:00,17.39,0.0,1.664812302,84.86
20210519-14:00,16.59,0.0,1.506286825,88.8
20210519-15:00,16.42,0.0,1.756018223,91.04
20210519-16:00,16.63,0.0,2.096187015,91.41
20210519-17:00,15.91,0.0,2.374278838,94.05
20210519-18:00,16.04,0.0,2.598326384,94.22
20210519-19:00,16.11,0.0,2.37844487,94.38
20210519-20:00,15.88,0.0,1.813945975,94.32
20210519-21:00,15.77,0.0,1.359448418,94.58
20210519-22:00,16.32,78426.59,2.269317078,89.08
20210519-23:00,16.37,410602.76,2.357159307,86.94
20210520-00:00,16.62,970096.52,2.136539258,85.3
20210520-01:00,16.95,1611983.88,1.766154014,83.51
20210520-02:00,19.91,2164721.78,1.634044063,70.63
20210520-03:00,20.14,2548305.72,1.376444696,70.65
20210520-04:00,20.38,2723631.13,0.601664358,70.4
20210520-05:00,22.31,2637118.56,1.080046295,64.24
20210520-06:00,22.52,2445522.95,0.99959992,62.98
20210520-07:00,22.82,2237825.46,0.76694198,60.75
20210520-08:00,23.14,1783718.63,0.514781507,58.56
20210520-09:00,23.07,1208595.18,0.848763807,59.79
20210520-10:00,20.06,528332.6,1.662077014,75.45
20210520-11:00,20.05,144692.55,2.15425161,75.67
20210520-12:00,19.7,0.0,2.468055915,77.58
20210520-13:00,19.58,0.0,2.413462243,78.16
20210520-14:00,18.87,0.0,2.522419473,81.9
20210520-15:00,18.25,0.0,2.323617869,84.54
20210520-16:00,18.3,0.0,2.339615353,84.44
20210520-17:00,17.25,0.0,2.407405242,87.33
20210520-18:00,17.14,0.0,2.491766442,87.97
20210520-19:00,17.04,0.0,2.304886114,89.88
20210520-20:00,16.58,0.0,2.088659857,93.25
20210520-21:00,16.58,0.0,2.258539351,93.99
20210520-22:00,20.26,85614.9,2.704071005,82.77
20210520-23:00,20.31,456407.1,2.501539526,81.49
20210521-00:00,20.4,1027523.36,2.558847397,81.36
20210521-01:00,20.68,1662791.22,2.744886154,81.14
20210521-02:00,25.05,2162227.84,2.6853119,64.67
20210521-03:00,24.8,2457232.74,2.49194703,63.08
20210521-04:00,24.82,2547406.42,2.656332058,63.65
20210521-05:00,26.2,2140597.57,2.658589852,59.56
20210521-06:00,26.34,2165652.16,2.716468295,58.91
20210521-07:00,26.47,1716610.07,2.789265136,58.64
20210521-08:00,25.88,1330175.9,2.742353004,61.95
20210521-09:00,26.22,773838.55,1.935458602,60.29
20210521-10:00,23.86,437970.13,1.281405478,71.33
20210521-11:00,23.52,90687.33,1.866788686,72.6
20210521-12:00,23.68,57.07,1.817608319,71.91
20210521-13:00,23.61,0.0,2.279034883,71.9
20210521-14:00,22.73,0.0,2.616906571,76.76
20210521-15:00,22.24,0.0,2.568501509,79.62
20210521-16:00,22.18,0.0,2.601922366,80.45
20210521-17:00,21.48,0.0,2.494193256,84.27
20210521-18:00,21.53,0.0,2.336236289,84.23
20210521-19:00,21.5,0.0,1.890105817,85.5
20210521-20:00,19.89,0.0,1.633799253,92.95
20210521-21:00,19.82,0.0,1.782273829,92.74
20210521-22:00,23.47,93141.42,2.303258561,79.52
20210521-23:00,23.69,510052.0,2.505294394,78.68
20210522-00:00,23.76,1084520.38,2.586000773,78.08
20210522-01:00,23.94,1673520.23,2.608236952,77.06
20210522-02:00,27.82,2187026.37,2.744011662,60.39
20210522-03:00,28.1,2570566.48,3.093428519,58.3
20210522-04:00,28.32,2783300.64,3.364669375,55.39
20210522-05:00,29.41,2526576.21,3.662034953,49.57
20210522-06:00,29.54,2494328.14,3.976191645,49.23
20210522-07:00,29.54,2270768.25,4.134694668,49.15
20210522-08:00,29.15,1734808.75,4.164732885,50.51
20210522-09:00,29.07,1050152.99,3.64676569,51.66
20210522-10:00,25.88,620904.24,2.580561954,64.45
20210522-11:00,26.05,152362.11,2.909037642,64.37
20210522-12:00,26.0,114.56,3.412110784,63.82
20210522-13:00,25.85,0.0,3.9999625,62.64
20210522-14:00,24.29,0.0,4.398920322,65.69
20210522-15:00,22.96,0.0,4.119465985,69.78
20210522-16:00,22.85,0.0,3.826277564,66.68
20210522-17:00,21.42,0.0,3.295603131,68.73
20210522-18:00,20.96,0.0,2.677386786,70.5
20210522-19:00,20.73,0.0,2.750890765,72.67
20210522-20:00,20.74,0.0,2.670599184,71.27
20210522-21:00,20.62,0.0,2.585884762,72.57
20210522-22:00,20.62,60028.38,2.801892218,75.92
20210522-23:00,20.83,314518.93,3.075386155,75.55
20210523-00:00,21.44,603224.39,2.774617091,74.8
20210523-01:00,21.67,850701.06,2.705642253,75.35
20210523-02:00,21.92,688037.66,1.601030918,74.36
20210523-03:00,22.08,855381.2,1.261784451,73.56
20210523-04:00,22.29,1236983.84,1.961045639,74.39
20210523-05:00,23.25,1590220.26,2.633191979,72.17
20210523-06:00,23.15,814001.91,2.916779045,72.26
20210523-07:00,23.24,432113.9,2.749345377,71.42
20210523-08:00,22.78,512304.11,2.422663823,71.3
20210523-09:00,22.7,362140.1,1.741321337,73.27
20210523-10:00,21.67,325269.73,1.234382437,75.77
20210523-11:00,20.74,89150.96,1.365650028,80.21
20210523-12:00,21.22,114.15,1.597779709,79.34
20210523-13:00,20.99,0.0,1.666883319,79.6
20210523-14:00,19.73,0.0,1.490301983,84.33
20210523-15:00,18.62,0.0,1.593643624,88.85
20210523-16:00,18.89,0.0,1.803607496,86.91
20210523-17:00,18.68,0.0,1.390863041,86.71
20210523-18:00,18.52,0.0,1.187013058,88.46
20210523-19:00,18.31,0.0,1.274754878,89.59
20210523-20:00,16.9,0.0,1.590282994,94.5
20210523-21:00,17.12,0.0,1.159655121,95.32
20210523-22:00,20.99,58045.15,1.7,79.01
20210523-23:00,21.17,470981.9,1.323064624,77.46
20210524-00:00,21.56,1145676.65,1.531012737,74.35
20210524-01:00,21.56,1746733.19,2.44517893,75.18
20210524-02:00,25.95,2263277.75,2.795800422,58.76
20210524-03:00,26.06,2650800.29,2.948982876,58.6
20210524-04:00,26.33,2863991.9,3.036593486,55.48
20210524-05:00,28.6,2896233.14,3.140859755,42.85
20210524-06:00,28.63,2730518.89,3.309259736,41.77
20210524-07:00,28.47,2115709.89,3.571134274,41.92
