id,name,type,dTime,energy_power
1001,Photovoltaics Tech,photovoltaics,20210515-00:00,6.5
1002,Solar Energy PV,photovoltaics,20210515-00:00,6.5
1003,Giant Wind Power,wind_power,20210515-00:00,7.3
1004,City consumption,consumption,20210515-00:00,-19.3
1001,Photovoltaics Tech,photovoltaics,20210515-01:00,6.5
1002,Solar Energy PV,photovoltaics,20210515-01:00,6.5
1003,Giant Wind Power,wind_power,20210515-01:00,7.3
1004,City consumption,consumption,20210515-01:00,-18.8
1001,Photovoltaics Tech,photovoltaics,20210515-02:00,6.5
1002,Solar Energy PV,photovoltaics,20210515-02:00,7.300000000000001
1003,Giant Wind Power,wind_power,20210515-02:00,7.3
1004,City consumption,consumption,20210515-02:00,-18.8
1001,Photovoltaics Tech,photovoltaics,20210515-03:00,7.300000000000001
1002,Solar Energy PV,photovoltaics,20210515-03:00,7.300000000000001
1003,Giant Wind Power,wind_power,20210515-03:00,7.3
1004,City consumption,consumption,20210515-03:00,-20.3
1001,Photovoltaics Tech,photovoltaics,20210515-04:00,7.300000000000001
1002,Solar Energy PV,photovoltaics,20210515-04:00,8.100000000000001
1003,Giant Wind Power,wind_power,20210515-04:00,7.3
1004,City consumption,consumption,20210515-04:00,-21.3
1001,Photovoltaics Tech,photovoltaics,20210515-05:00,7.300000000000001
1002,Solar Energy PV,photovoltaics,20210515-05:00,8.100000000000001
1003,Giant Wind Power,wind_power,20210515-05:00,7.3
1004,City consumption,consumption,20210515-05:00,-22.3
1001,Photovoltaics Tech,photovoltaics,20210515-06:00,8.100000000000001
1002,Solar Energy PV,photovoltaics,20210515-06:00,8.100000000000001
1003,Giant Wind Power,wind_power,20210515-06:00,7.3
1004,City consumption,consumption,20210515-06:00,-22.3
1001,Photovoltaics Tech,photovoltaics,20210515-07:00,8.100000000000001
1002,Solar Energy PV,photovoltaics,20210515-07:00,8.9
1003,Giant Wind Power,wind_power,20210515-07:00,7.3
1004,City consumption,consumption,20210515-07:00,-23.3
1001,Photovoltaics Tech,photovoltaics,20210515-08:00,8.9
1002,Solar Energy PV,photovoltaics,20210515-08:00,9.7
1003,Giant Wind Power,wind_power,20210515-08:00,7.3
1004,City consumption,consumption,20210515-08:00,-24.3
1001,Photovoltaics Tech,photovoltaics,20210515-09:00,9.7
1002,Solar Energy PV,photovoltaics,20210515-09:00,11.3
1003,Giant Wind Power,wind_power,20210515-09:00,7.3
1004,City consumption,consumption,20210515-09:00,-24.8
1001,Photovoltaics Tech,photovoltaics,20210515-10:00,10.5
1002,Solar Energy PV,photovoltaics,20210515-10:00,12.9
1003,Giant Wind Power,wind_power,20210515-10:00,7.3
1004,City consumption,consumption,20210515-10:00,-26.3
1001,Photovoltaics Tech,photovoltaics,20210515-11:00,10.5
1002,Solar Energy PV,photovoltaics,20210515-11:00,12.9
1003,Giant Wind Power,wind_power,20210515-11:00,7.3
1004,City consumption,consumption,20210515-11:00,-26.3
1001,Photovoltaics Tech,photovoltaics,20210515-12:00,11.3
1002,Solar Energy PV,photovoltaics,20210515-12:00,12.100000000000001
1003,Giant Wind Power,wind_power,20210515-12:00,7.3
1004,City consumption,consumption,20210515-12:00,-26.3
1001,Photovoltaics Tech,photovoltaics,20210515-13:00,12.100000000000001
1002,Solar Energy PV,photovoltaics,20210515-13:00,10.5
1003,Giant Wind Power,wind_power,20210515-13:00,7.3
1004,City consumption,consumption,20210515-13:00,-26.3
1001,Photovoltaics Tech,photovoltaics,20210515-14:00,12.100000000000001
1002,Solar Energy PV,photovoltaics,20210515-14:00,10.5
1003,Giant Wind Power,wind_power,20210515-14:00,7.3
1004,City consumption,consumption,20210515-14:00,-26.3
1001,Photovoltaics Tech,photovoltaics,20210515-15:00,11.3
1002,Solar Energy PV,photovoltaics,20210515-15:00,10.5
1003,Giant Wind Power,wind_power,20210515-15:00,7.3
1004,City consumption,consumption,20210515-15:00,-26.3
1001,Photovoltaics Tech,photovoltaics,20210515-16:00,11.3
1002,Solar Energy PV,photovoltaics,20210515-16:00,8.9
1003,Giant Wind Power,wind_power,20210515-16:00,7.3
1004,City consumption,consumption,20210515-16:00,-25.3
1001,Photovoltaics Tech,photovoltaics,20210515-17:00,10.5
1002,Solar Energy PV,photovoltaics,20210515-17:00,7.300000000000001
1003,Giant Wind Power,wind_power,20210515-17:00,7.3
1004,City consumption,consumption,20210515-17:00,-24.3
1001,Photovoltaics Tech,photovoltaics,20210515-18:00,8.9
1002,Solar Energy PV,photovoltaics,20210515-18:00,8.100000000000001
1003,Giant Wind Power,wind_power,20210515-18:00,7.3
1004,City consumption,consumption,20210515-18:00,-23.3
1001,Photovoltaics Tech,photovoltaics,20210515-19:00,8.100000000000001
1002,Solar Energy PV,photovoltaics,20210515-19:00,8.100000000000001
1003,Giant Wind Power,wind_power,20210515-19:00,7.3
1004,City consumption,consumption,20210515-19:00,-25.3
1001,Photovoltaics Tech,photovoltaics,20210515-20:00,8.100000000000001
1002,Solar Energy PV,photovoltaics,20210515-20:00,6.5
1003,Giant Wind Power,wind_power,20210515-20:00,7.3
1004,City consumption,consumption,20210515-20:00,-25.3
1001,Photovoltaics Tech,photovoltaics,20210515-21:00,7.300000000000001
1002,Solar Energy PV,photovoltaics,20210515-21:00,6.5
1003,Giant Wind Power,wind_power,20210515-21:00,7.3
1004,City consumption,consumption,20210515-21:00,-25.3
1001,Photovoltaics Tech,photovoltaics,20210515-22:00,7.300000000000001
1002,Solar Energy PV,photovoltaics,20210515-22:00,7.300000000000001
1003,Giant Wind Power,wind_power,20210515-22:00,7.3
1004,City consumption,consumption,20210515-22:00,-24.3
1001,Photovoltaics Tech,photovoltaics,20210515-23:00,6.5
1002,Solar Energy PV,photovoltaics,20210515-23:00,6.5
1003,Giant Wind Power,wind_power,20210515-23:00,7.3
1004,City consumption,consumption,20210515-23:00,-22.3
1001,Photovoltaics Tech,photovoltaics,20210516-00:00,6.0
1002,Solar Energy PV,photovoltaics,20210516-00:00,6.0
1003,Giant Wind Power,wind_power,20210516-00:00,7.6000000000000005
1004,City consumption,consumption,20210516-00:00,-19.2
1001,Photovoltaics Tech,photovoltaics,20210516-01:00,6.0
1002,Solar Energy PV,photovoltaics,20210516-01:00,6.0
1003,Giant Wind Power,wind_power,20210516-01:00,7.6000000000000005
1004,City consumption,consumption,20210516-01:00,-18.7
1001,Photovoltaics Tech,photovoltaics,20210516-02:00,6.0
1002,Solar Energy PV,photovoltaics,20210516-02:00,6.800000000000001
1003,Giant Wind Power,wind_power,20210516-02:00,7.6000000000000005
1004,City consumption,consumption,20210516-02:00,-18.7
1001,Photovoltaics Tech,photovoltaics,20210516-03:00,6.800000000000001
1002,Solar Energy PV,photovoltaics,20210516-03:00,6.800000000000001
1003,Giant Wind Power,wind_power,20210516-03:00,7.6000000000000005
1004,City consumption,consumption,20210516-03:00,-20.2
1001,Photovoltaics Tech,photovoltaics,20210516-04:00,6.800000000000001
1002,Solar Energy PV,photovoltaics,20210516-04:00,7.6000000000000005
1003,Giant Wind Power,wind_power,20210516-04:00,7.6000000000000005
1004,City consumption,consumption,20210516-04:00,-21.2
1001,Photovoltaics Tech,photovoltaics,20210516-05:00,6.800000000000001
1002,Solar Energy PV,photovoltaics,20210516-05:00,7.6000000000000005
1003,Giant Wind Power,wind_power,20210516-05:00,7.6000000000000005
1004,City consumption,consumption,20210516-05:00,-22.2
1001,Photovoltaics Tech,photovoltaics,20210516-06:00,7.6000000000000005
1002,Solar Energy PV,photovoltaics,20210516-06:00,7.6000000000000005
1003,Giant Wind Power,wind_power,20210516-06:00,7.6000000000000005
1004,City consumption,consumption,20210516-06:00,-22.2
1001,Photovoltaics Tech,photovoltaics,20210516-07:00,7.6000000000000005
1002,Solar Energy PV,photovoltaics,20210516-07:00,8.4
1003,Giant Wind Power,wind_power,20210516-07:00,7.6000000000000005
1004,City consumption,consumption,20210516-07:00,-23.2
1001,Photovoltaics Tech,photovoltaics,20210516-08:00,8.4
1002,Solar Energy PV,photovoltaics,20210516-08:00,9.2
1003,Giant Wind Power,wind_power,20210516-08:00,7.6000000000000005
1004,City consumption,consumption,20210516-08:00,-24.2
1001,Photovoltaics Tech,photovoltaics,20210516-09:00,9.2
1002,Solar Energy PV,photovoltaics,20210516-09:00,10.8
1003,Giant Wind Power,wind_power,20210516-09:00,7.6000000000000005
1004,City consumption,consumption,20210516-09:00,-24.7
1001,Photovoltaics Tech,photovoltaics,20210516-10:00,10.0
1002,Solar Energy PV,photovoltaics,20210516-10:00,12.4
1003,Giant Wind Power,wind_power,20210516-10:00,7.6000000000000005
1004,City consumption,consumption,20210516-10:00,-26.2
1001,Photovoltaics Tech,photovoltaics,20210516-11:00,10.0
1002,Solar Energy PV,photovoltaics,20210516-11:00,12.4
1003,Giant Wind Power,wind_power,20210516-11:00,7.6000000000000005
1004,City consumption,consumption,20210516-11:00,-26.2
1001,Photovoltaics Tech,photovoltaics,20210516-12:00,10.8
1002,Solar Energy PV,photovoltaics,20210516-12:00,11.600000000000001
1003,Giant Wind Power,wind_power,20210516-12:00,7.6000000000000005
1004,City consumption,consumption,20210516-12:00,-26.2
1001,Photovoltaics Tech,photovoltaics,20210516-13:00,11.600000000000001
1002,Solar Energy PV,photovoltaics,20210516-13:00,10.0
1003,Giant Wind Power,wind_power,20210516-13:00,7.6000000000000005
1004,City consumption,consumption,20210516-13:00,-26.2
1001,Photovoltaics Tech,photovoltaics,20210516-14:00,11.600000000000001
1002,Solar Energy PV,photovoltaics,20210516-14:00,10.0
1003,Giant Wind Power,wind_power,20210516-14:00,7.6000000000000005
1004,City consumption,consumption,20210516-14:00,-26.2
1001,Photovoltaics Tech,photovoltaics,20210516-15:00,10.8
1002,Solar Energy PV,photovoltaics,20210516-15:00,10.0
1003,Giant Wind Power,wind_power,20210516-15:00,7.6000000000000005
1004,City consumption,consumption,20210516-15:00,-26.2
1001,Photovoltaics Tech,photovoltaics,20210516-16:00,10.8
1002,Solar Energy PV,photovoltaics,20210516-16:00,8.4
1003,Giant Wind Power,wind_power,20210516-16:00,7.6000000000000005
1004,City consumption,consumption,20210516-16:00,-25.2
1001,Photovoltaics Tech,photovoltaics,20210516-17:00,10.0
1002,Solar Energy PV,photovoltaics,20210516-17:00,6.800000000000001
1003,Giant Wind Power,wind_power,20210516-17:00,7.6000000000000005
1004,City consumption,consumption,20210516-17:00,-24.2
1001,Photovoltaics Tech,photovoltaics,20210516-18:00,8.4
1002,Solar Energy PV,photovoltaics,20210516-18:00,7.6000000000000005
1003,Giant Wind Power,wind_power,20210516-18:00,7.6000000000000005
1004,City consumption,consumption,20210516-18:00,-23.2
